%1 transaction(s) could not be unbooked.,%1 Transaktion(en) konnten nicht rückgängig gemacht werden.
"%1 transaction(s) have been successfully unbooked, %2 failed.","%1 Transaktion(en) wurden erfolgreich rückgängig gemacht, %2 sind fehlgeschlagen."
%1 transaction(s) have been unbooked successfully.,%1 Transaktion(en) wurden erfolgreich rückgängig gemacht.
"%1 transactions have been booked successfully, %2 have failed.","%1 Transaktionen wurden erfolgreich gebucht, %2 sind fehlgeschlagen."
%1 transactions have been booked successfully.,%1 Transaktionen wurden erfolgreich gebucht.
Delay in days,Verzögerung in Tagen
Delete,Löschen
"Delete ""%1""","""%1"" löschen"
Delete previous transactions,Vorherige Transaktionen löschen
Delimiter,Trennzeichen
Details about how the transactions will be matched with documents,"Details darüber, wie die Transaktionen mit Dokumenten abgeglichen werden"
Document Amount,Belegbetrag
Document Count,Beleganzahl
Document Date,Belegdatum
Document Increment ID,Belegnr.
Document Increment Id,Belegnr.
Document Nr Pattern,Dokument Nr. Muster
Document selection,Dokumentauswahl
Dunning 1,Mahnung
Dunning 2,Zweite Mahnung
Dunning block,Mahnsperre
Dunnings,Mahnungen
Edit,Bearbeiten
Edit CSV format,CSV Format bearbeiten
Edit Dunning,Mahnung bearbeiten
Edit dunning comment,Mahnungskommentar bearbeiten
Edit formats,Formate bearbeiten
Edit Transaction,Transaktion bearbeiten
Edit transaction,Transaktion bearbeiten
Email address,E-Mail-Adresse
Email Sender,E-Mail Absender
Enable this if you want to match creditmemos as well as invoices.,"Aktivieren Sie dies, wenn Sie neben Rechnungen auch Gutschriften abgleichen möchten."
Enabled,Aktiviert
Enclosure,Einfassung
Error occurred while deleted the transaction(s). Check the logs for more details.,Beim Löschen der Transaktion(en) ist ein Fehler aufgetreten. Prüfen Sie die Logdateien für weitere Details.
Error occurred while importing the CSV file. Check the logs for more details.,Beim Importieren der CSV-Datei ist ein Fehler aufgetreten. Prüfen Sie die Logdateien für weitere Details.
Error occurred while matching the transactions. Check the logs for more details.,Beim Abgleichen der Transaktionen ist ein Fehler aufgetreten. Prüfen Sie die Logdateien für weitere Details.
Failed to archive the transaction,Beim Archivieren der Transaktion ist ein Fehler aufgetreten
Failed to book the transaction,Buchung der Transaktion fehlgeschlagen
Fields,Felder
File not found.,Datei nicht gefunden.
Format deleted.,Format gelöscht.
Format not found.,Format nicht gefunden.
Format saved.,Format gespeichert.
Found %1 documents for %2 transactions,%1 Belege für %2 Transaktionen gefunden
General Configuration,Allgemeine Konfiguration
How many days can the transaction be prior to the creation of the document and still be matched?,Wie viele Tage kann die Transaktion vor der Erstellung des Dokuments liegen und dennoch abgeglichen werden?
"If the difference is bigger than the threshold, the transaction will not be matched at all. The smaller the difference, the higher the confidence.","Wenn der Unterschied größer als die Schwelle ist, wird die Transaktion überhaupt nicht abgeglichen. Je kleiner der Unterschied, desto höher das Vertrauen."
"If you have a lot of transactions and invoices to match and importing the files takes too long, enable this.","Wenn Sie viele Transaktionen und Rechnungen zum Abgleichen haben und das Importieren der Dateien zu lange dauert, aktivieren Sie dies."
Import Transaction,Transaktion importieren
Import Transactions,Transaktionen importieren
Invalid encoding. Valid encodings: %1,Ungültige Zeichenkodierung. Gültige Kodierungen: %1
Invoice,Rechnung
Invoice Date,Rechnungsdatum
Is Archived,Ist archiviert
Is paid,Ist bezahlt
Label,Etikett
Mail Template,Mailvorlage
Match confidence thresholds,Schwellwerte für Übereinstimmungen
Matches with less than this confidence will not be displayed in the match list at all,Übereinstimmungen mit weniger als diesem Vertrauen werden überhaupt nicht in der Abgleichsliste angezeigt
Matches with this confidence or higher can be booked automatically,Übereinstimmungen mit diesem Vertrauen oder höher können automatisch gebucht werden
Matching,Abgleich
Minimum Threshold,Mindestschwelle
Name,Name
New Transaction Details,Details zur neuen Transaktion
New Transactions,Neue Kontobewegungen
No transactions to match,Keine Transaktionen zum Abgleichen
"Object with id ""%1"" does not exist.","Objekt mit der ID ""%1"" existiert nicht."
Only documents after this date will be considered,Nur Dokumente nach diesem Datum werden berücksichtigt
Order Customer Name,Bestellkundenname
Order Increment Id,Bestellnr.
Order Increment ID,Bestellnr.
Order Nr Pattern,Bestell Nr. Muster
Paid amount,Gezahlter Betrag
Paid Amount,Gezahlter Betrag
Patterns for purpose matching,Muster für Abgleich des Verwendungszwecks
Payer Name,Name des Zahlenden
Payment date,Zahlungsdatum
Payment Method,Zahlungsmethode
Payment Methods,Zahlungsmethoden
Payment purpose,Verwendungszweck
Payment reminder,Zahlungserinnerung
Price,Preis
Print,Drucken
Products,Produkte
Purpose,Verwendungszweck
Qty,Anzahl
Regular expression to extract the customer number from the purpose,"Regulärer Ausdruck, um die Kundennummer aus dem Verwendungszweck zu extrahieren"
Regular expression to extract the document number from the purpose,"Regulärer Ausdruck, um die Dokumentennummer aus dem Verwendungszweck zu extrahieren"
Regular expression to extract the order number from the purpose,"Regulärer Ausdruck, um die Bestellnummer aus dem Verwendungszweck zu extrahieren"
Regular expressions.{{value}} will be replaced with the actual increment_id.,Reguläre Ausdrücke. {{value}} wird durch die tatsächliche increment_id ersetzt.
Reminder 1,Zahlungserinnerung
Reminder 2,Zweite Zahlungserinnerung
Remove dunning block,Mahnsperre aufheben
Dunning block,Mahnsperre
Save,Speichern
Select document,Dokument auswählen
Send Mail,Mail senden
Send mails,Mails senden
Sent,Gesendet
Sent At,Gesendet am
Sure?,Sicher?
SKU,SKU
Some transactions could not be recalculated.,Einige Transaktionen konnten nicht neu berechnet werden.
Source,Quelle
Start Date,Startdatum
Strict Amount Matching,Strikter Betragsabgleich
"Strict: Apply the weight only if it matches exactly, 0 otherwise. Non strict: Apply the weight linearly (barely made the threshold: 0, exact: 100%).","Strikt: Das Gewicht nur anwenden, wenn es genau übereinstimmt, sonst 0. Nicht strikt: Das Gewicht linear anwenden (kaum die Schwelle erreicht: 0, genau: 100%)."
Subtotal,Zwischensumme
Support Creditmemos,Gutschriften unterstützen
Tax,Steuer
The dunning could not be saved.,Die Mahnung konnte nicht gespeichert werden.
The dunning was already archived.,Die Mahnung war bereits archiviert.
The dunning was archived.,Die Mahnung wurde archiviert.
The dunning was not archived to begin with.,Die Mahnung war nicht archiviert.
The dunning was saved successfully.,Die Mahnung wurde erfolgreich gespeichert.
The dunning was unarchived.,Die Mahnung wurde erfolgreich aus dem Archiv geholt.
The headers of the CSV file.,Die Kopfzeilen der CSV-Datei.
The invoice is blocked. Please unblock it first.,Die Rechnung hat eine Mahnsperre. Bitte zuerst die Mahnsperre aufheben.
"The label of the type, will be printed onto the PDF",Das Etikett des Typs; wird auf das PDF gedruckt
The mail has been sent.,Die Mail wurde gesendet.
The transaction has been deleted successfully.,Die Transaktion wurde erfolgreich gelöscht.
The transactions have been deleted successfully.,Die Transaktionen wurden erfolgreich gelöscht.
There was an error sending the mail.,Es gab einen Fehler beim Senden der Mail.
Thousand Separator,Tausendertrennzeichen
Thousand separator and decimal separator must be different.,Tausendertrennzeichen und Dezimaltrennzeichen müssen unterschiedlich sein.
Transaction archived,Transaktion archiviert
Transaction archived.,Transaktion archiviert.
Transaction booked,Transaktion gebucht
Transaction Date,Transaktionsdatum
Transaction not found.,Transaktion nicht gefunden.
Transaction saved.,Transaktion gespeichert.
Transactions,Transaktionen
Transactions,Transaktionen
Transactions will be matched in the background. Please check the list in a few minutes.,Die Transaktionen werden im Hintergrund abgeglichen. Bitte prüfen Sie die Liste in ein paar Minuten.
Type,Typ
Types,Typen
Unarchive,Un-Archivieren
Unbook,Rückgängig
Updated At,Aktualisiert am
Upload CSV file,CSV-Datei hochladen
Upload File,Datei hochladen
Weights,Gewichte
Which payment methods should be considered when matching?,Welche Zahlungsmethoden sollten beim Abgleich berücksichtigt werden?
Invoice Amount,Rechnungsbetrag
